Short branch name,Branch,Region,Klasifikasi Liga 2024,"Klasifikasi Liga 2025, W1","Klasifikasi Liga 2025, W2","Klasifikasi Liga 2025, AVG Score",LIGA 2026
7010 - EIGER Adventure Store Abdurahman Saleh Sumedang,JAWA BARAT 3,REGION 2,SILVER,GOLD,GOLD,GOLD,GOLD
2233 - EIGER Adventure Store A.Yani Cilegon,DKI 3,REGION 1,GOLD,GOLD,GOLD,GOLD,GOLD
2364 - EIGER Adventure Store Zainul Arifin Stabat,SUMATERA 3,REGION 3,GOLD,GOLD,GOLD,GOLD,GOLD
2313 - EIGER Adventure Store Siliwangi Cirebon,JAWA BARAT 3,REGION 2,SILVER,GOLD,GOLD,GOLD,GOLD
2172 - EIGER Adventure Store Cibarusah Bekasi,DKI 2,REGION 1,SILVER,GOLD,GOLD,GOLD,GOLD
2099 - EIGER Adventure Store Diponegoro TulungAgung,JAWA TIMUR 2,REGION 4,SILVER,GOLD,GOLD,GOLD,GOLD
7008 - EIGER Adventure Store Kawi Kepanjen Malang,JAWA TIMUR 2,REGION 4,SILVER,GOLD,GOLD,GOLD,GOLD
2135 - EIGER Adventure Store Kemanggisan Grogol Petamburan,DKI 1,REGION 1,SILVER,GOLD,GOLD,GOLD,GOLD
2337 - EIGER Adventure Store Pluit Tanjungpriok,DKI 1,REGION 1,GOLD,GOLD,GOLD,GOLD,GOLD
2301 - EIGER Adventure Store Yudanegara Tasikmalaya,JAWA BARAT 3,REGION 2,BRONZE,GOLD,GOLD,GOLD,GOLD
5122 - EIGER Adventure Store Grand Mall Maros,IBT 2,REGION 5,SILVER,GOLD,GOLD,GOLD,GOLD
5042 - EIGER Adventure Store Malang Olympic Garden Malang,JAWA TIMUR 2,REGION 4,GOLD,GOLD,GOLD,GOLD,GOLD
2140 - EIGER Adventure Store Sriwijaya Tanjung Pandan,SUMATERA 1,REGION 2,SILVER,GOLD,GOLD,GOLD,GOLD
7017 - EIGER Adventure Store Ahmad Dahlan Purworejo,JAWA TENGAH 1,REGION 3,GOLD,GOLD,GOLD,GOLD,GOLD
2208 - EIGER Adventure Store Jakgung Suprapto Ngawi,JAWA TIMUR 3,REGION 4,SILVER,GOLD,GOLD,GOLD,GOLD
2336 - EIGER Adventure Store A.Yani Pacitan,JAWA TIMUR 3,REGION 4,GOLD,GOLD,GOLD,GOLD,GOLD
2125 - EIGER Adventure Store Pengayoman Makassar,IBT 2,REGION 5,GOLD,GOLD,GOLD,GOLD,GOLD
2202 - EIGER Adventure Store Diponegoro Ungaran Semarang,JAWA TENGAH 2,REGION 3,SILVER,SILVER,GOLD,GOLD,SILVER
5036 - EIGER Adventure Store Karawang Ctr Plaza Karawang,JAWA BARAT 4,REGION 2,SILVER,GOLD,GOLD,GOLD,GOLD
2342 - EIGER Adventure Store Brig. Katamso Wonosari,JAWA TENGAH 1,REGION 3,GOLD,GOLD,GOLD,GOLD,GOLD
7016 - EIGER Adventure Store Pandanaran Boyolali,JAWA TENGAH 1,REGION 3,GOLD,SILVER,GOLD,GOLD,SILVER
2324 - EIGER Adventure Store Majid Ibrahim Sigli,SUMATERA 3,REGION 3,SILVER,GOLD,GOLD,GOLD,GOLD
2231 - EIGER Adventure Store Kepatihan Bandung,JAWA BARAT 1,REGION 2,GOLD,SILVER,GOLD,GOLD,SILVER
7035 - EIGER Adventure Store Jen.Sudirman Trenggalek,JAWA TIMUR 3,REGION 4,SILVER,SILVER,GOLD,GOLD,SILVER
7046 - EIGER Adventure Store Simpang Empat Batulicin,IBT 1,REGION 5,SILVER,GOLD,GOLD,GOLD,GOLD
5089 - EIGER Adventure Store Plaza Asia Tasikmalaya,JAWA BARAT 3,REGION 2,SILVER,BRONZE,GOLD,GOLD,SILVER
5164 - EIGER Adventure Store Blok M Plaza Kebayoran Baru,DKI 1,REGION 1,GOLD,BRONZE,GOLD,GOLD,SILVER
2207 - EIGER Adventure Store Kondang Majalaya Bandung,JAWA BARAT 4,REGION 2,SILVER,GOLD,GOLD,GOLD,GOLD
2271 - EIGER Adventure Store Tebet Kebayoran Baru,DKI 1,REGION 1,SILVER,SILVER,GOLD,GOLD,SILVER
