User ID,Site Code,Display Name,Rank,Role,City,Province,Role,Region,Branch
2019,2019,2019 - EIGER Adventure Flagship Store Margonda Depok,2019 - EIGER Adventure Flagship Store Margonda Depok Store Head,Store,KOTA DEPOK,JAWA BARAT,Store,REGION 1,DKI 4
2065,2065,2065 - EIGER Adventure Store Juanda Ciputat Tangerang,2065 - EIGER Adventure Store Juanda Ciputat Tangerang Store Head,Store,KOTA TANGERANG SELATAN,BANTEN,Store,REGION 1,DKI 3
2310,2310,2310 - EIGER Adventure Store Meruya Grogol Petamburan,2310 - EIGER Adventure Store Meruya Grogol Petamburan Store Head,Store,KOTA JAKARTA BARAT,DKI JAKARTA,Store,REGION 1,DKI 1
2054,2054,2054 - EIGER Adventure Flagship Store Radio Dalam Kebayoran Baru,2054 - EIGER Adventure Flagship Store Radio Dalam Kebayoran Baru Store Head,Store,KOTA JAKARTA SELATAN,DKI JAKARTA,Store,REGION 1,DKI 1
2233,2233,2233 - EIGER Adventure Store A.Yani Cilegon,2233 - EIGER Adventure Store A.Yani Cilegon Store Head,Store,KOTA CILEGON,BANTEN,Store,REGION 1,DKI 3
2370,2370,2370 - EIGER Adventure Store Sutomo Padang,2370 - EIGER Adventure Store Sutomo Padang Store Head,Store,KOTA PADANG,SUMATERA BARAT,Store,REGION 2,SUMATERA 2
2457,2457,2457 - EIGER Store Metland Cileungsi,2457 - EIGER Store Metland Cileungsi Store Head,Store,KABUPATEN BOGOR,JAWA BARAT,Store,REGION 1,DKI 4
7049,7049,7049 - EIGER Adventure Store Tole Iskandar Depok,7049 - EIGER Adventure Store Tole Iskandar Depok Store Head,Store,KOTA DEPOK,JAWA BARAT,Store,REGION 1,DKI 4
2446,2446,2446 - EIGER Adventure Store Lubang Buaya Cakung,2446 - EIGER Adventure Store Lubang Buaya Cakung Store Head,Store,KOTA JAKARTA TIMUR,DKI JAKARTA,Store,REGION 1,DKI 2
2022,2022,2022 - EIGER Adventure Store Buaran Cakung,2022 - EIGER Adventure Store Buaran Cakung Store Head,Store,KOTA JAKARTA TIMUR,DKI JAKARTA,Store,REGION 1,DKI 2
2307,2307,2307 - EIGER Adventure Store Tambun City Bekasi,2307 - EIGER Adventure Store Tambun City Bekasi Store Head,Store,KABUPATEN BEKASI,JAWA BARAT,Store,REGION 1,DKI 2
2200,2200,2200 - EIGER Adventure Store Siliwangi Jatibarang Indramayu,2200 - EIGER Adventure Store Siliwangi Jatibarang Indramayu Store Head,Store,KABUPATEN INDRAMAYU,JAWA BARAT,Store,REGION 2,JAWA BARAT 3
2002,2002,2002 - EIGER Adventure Flagship Store Sumatera Bandung,2002 - EIGER Adventure Flagship Store Sumatera Bandung Store Head,Store,KOTA BANDUNG,JAWA BARAT,Store,REGION 2,JAWA BARAT 2
