Section;Weight
(Section) A. Tampilan Tampak Depan Outlet;4
(Section) B. Sambutan Hangat Ketika Masuk ke Dalam Outlet;9
(Section) C. Suasana & Kenyamanan Outlet;8
(Section) D. Penampilan Retail Assistant;5
(Section) E. Pelayanan Penjualan & Pengetahuan Produk;20
(Section) F. Pengalaman Mencoba Produk;11
(Section) G. Rekomendasi untuk Membeli Produk;15
(Section) H. Pembelian Produk & Pembayaran di Kasir;14
(Section) I. Penampilan Kasir;5
(Section) J. Toilet (Khusus Store yang memiliki toilet );4
(Section) K. Salam Perpisahan oleh Retail Asisstant;5
